#SUBMITTED ID,FBID_KEY,ANNOTATION_SYMBOL,GO_BIOLOGICAL_PROCESS,GO_CELLULAR_COMPONENT,GO_MOLECULAR_FUNCTION,LOCATION_ARM,LOCATION_MAX,LOCATION_MIN,NAME,SYMBOL
FBgn0044048,FBgn0044048,CG33273,insulin receptor signaling pathway ; GO:0008286 | inferred from direct assay <newline> entry into reproductive diapause ; GO:0055116 | inferred from mutant phenotype <newline> sleep ; GO:0030431 | inferred from mutant phenotype <newline> regulation of insulin receptor signaling pathway ; GO:0046626 | inferred from biological aspect of ancestor with PANTHER:PTN001414741 <newline> insulin receptor signaling pathway ; GO:0008286 | inferred from sequence or structural similarity with HGNC:6081 <newline> carbohydrate homeostasis ; GO:0033500 | inferred from direct assay <newline> locomotory behavior ; GO:0007626 | inferred from mutant phenotype <newline> female mating behavior ; GO:0060180 | inferred from mutant phenotype <newline> circadian rhythm ; GO:0007623 | NOT inferred from mutant phenotype,extracellular space ; GO:0005615 | inferred from direct assay <newline> extracellular space ; GO:0005615 | inferred from sequence or structural similarity with HGNC:6081,hormone activity ; GO:0005179 | inferred from electronic annotation with InterPro:IPR016179 <newline> receptor ligand activity ; GO:0048018 | inferred from direct assay <newline> insulin receptor binding ; GO:0005158 | inferred from physical interaction with InR <newline> insulin receptor binding ; GO:0005158 | inferred from sequence or structural similarity with HGNC:6081 <newline> protein binding ; GO:0005515 | inferred from physical interaction with ImpL2,3L,9823897,9823349,Insulin-like peptide 5,Ilp5
FBgn0037203,FBgn0037203,CG11128,transmembrane transport ; GO:0055085 | inferred from electronic annotation with InterPro:IPR002293 <newline> amino acid transport ; GO:0006865 | inferred from direct assay <newline> defense response to Gram-negative bacterium ; GO:0050829 | inferred from high throughput mutant phenotype <newline> negative regulation of innate immune response ; GO:0045824 | inferred from high throughput mutant phenotype <newline> lipid homeostasis ; GO:0055088 | inferred from mutant phenotype <newline> regulation of growth ; GO:0040008 | inferred from mutant phenotype,membrane ; GO:0016020 | inferred from electronic annotation with InterPro:IPR002293 <newline> integral component of plasma membrane ; GO:0005887 | inferred by curator from GO:0015174,basic amino acid transmembrane transporter activity ; GO:0015174 | inferred from direct assay,3L,22893821,22881045,slimfast,slif
FBgn0263395,FBgn0263395,CG7097,behavioral response to ethanol ; GO:0048149 | inferred from mutant phenotype <newline> regulation of cell size ; GO:0008361 | inferred from mutant phenotype <newline> positive regulation of hippo signaling ; GO:0035332 | inferred from genetic interaction with wts <newline> protein phosphorylation ; GO:0006468 | inferred from genetic interaction with Tsc1 <newline> positive regulation of TOR signaling ; GO:0032008 | inferred from genetic interaction with Tsc1 <newline> negative regulation of epidermal growth factor receptor signaling pathway ; GO:0042059 | inferred from genetic interaction with aop inferred from genetic interaction with Egfr <newline> positive regulation of apoptotic process ; GO:0043065 | inferred from mutant phenotype <newline> regulation of growth rate ; GO:0040009 | inferred from mutant phenotype <newline> regulation of mitotic cell cycle ; GO:0007346 | inferred from biological aspect of ancestor with PANTHER:PTN000684825 <newline> Golgi organization ; GO:0007030 | inferred from mutant phenotype <newline> positive regulation of TORC1 signaling ; GO:1904263 | inferred from genetic interaction with Tor inferred from genetic interaction with RagC-D inferred from genetic interaction with path inferred from genetic interaction with slif inferred from genetic interaction with RagA-B inferred from genetic interaction with Rheb inferred from genetic interaction with S6k <newline> positive regulation of cell size ; GO:0045793 | inferred from mutant phenotype <newline> JNK cascade ; GO:0007254 | inferred from direct assay <newline> triglyceride homeostasis ; GO:0070328 | inferred from mutant phenotype <newline> apoptotic process ; GO:0006915 | inferred from direct assay <newline> positive regulation of JNK cascade ; GO:0046330 | inferred from mutant phenotype,cytosol ; GO:0005829 | inferred from direct assay,"ATP binding ; GO:0005524 | inferred from electronic annotation with InterPro:IPR000719, InterPro:IPR002290, InterPro:IPR017441, InterPro:IPR021160 <newline> MAP kinase kinase kinase kinase activity ; GO:0008349 | inferred from biological aspect of ancestor with PANTHER:PTN001220960 <newline> protein kinase activity ; GO:0004672 | inferred from genetic interaction with Tsc1",2R,19227193,19178738,happyhour,hppy
FBgn0028978,FBgn0028978,CG5408,ventral furrow formation ; GO:0007370 | inferred from genetic interaction with stg <newline> positive regulation of proteasomal ubiquitin-dependent protein catabolic process ; GO:0032436 | inferred from biological aspect of ancestor with PANTHER:PTN001121144 <newline> positive regulation of cell size ; GO:0045793 | inferred from mutant phenotype <newline> negative regulation of mitotic nuclear division ; GO:0045839 | inferred from mutant phenotype inferred from genetic interaction with stg <newline> negative regulation of protein kinase B signaling ; GO:0051898 | inferred from mutant phenotype <newline> regulation of MAP kinase activity ; GO:0043405 | inferred from biological aspect of ancestor with PANTHER:PTN001121144 <newline> glucose homeostasis ; GO:0042593 | inferred from mutant phenotype <newline> positive regulation of ubiquitin-dependent protein catabolic process ; GO:2000060 | inferred from direct assay <newline> negative regulation of lipid storage ; GO:0010888 | inferred from mutant phenotype <newline> negative regulation of insulin receptor signaling pathway ; GO:0046627 | inferred from genetic interaction with Pi3K92E inferred from genetic interaction with Pten <newline> regulation of cell cycle ; GO:0051726 | inferred from mutant phenotype,cytosol ; GO:0005829 | inferred from direct assay <newline> nucleus ; GO:0005634 | inferred from direct assay,ATP binding ; GO:0005524 | inferred from electronic annotation with InterPro:IPR000719 <newline> protein heterodimerization activity ; GO:0046982 | inferred from physical interaction with slbo <newline> protein homodimerization activity ; GO:0042803 | inferred from physical interaction with trbl <newline> protein kinase inhibitor activity ; GO:0004860 | inferred from mutant phenotype <newline> mitogen-activated protein kinase kinase binding ; GO:0031434 | inferred from biological aspect of ancestor with PANTHER:PTN001121144 <newline> protein kinase activity ; GO:0004672 | NOT inferred from sequence or structural similarity with HGNC:16228,3L,20401609,20396288,tribbles,trbl
FBgn0267824,FBgn0267824,CG46146,neurotrophin TRK receptor signaling pathway ; GO:0048011 | inferred from electronic annotation with InterPro:IPR026682 <newline> negative regulation of TOR signaling ; GO:0032007 | inferred from genetic interaction with S6k <newline> TORC1 signaling ; GO:0038202 | inferred from mutant phenotype <newline> TORC1 signaling ; GO:0038202 | inferred from biological aspect of ancestor with PANTHER:PTN001094901 <newline> negative regulation of TOR signaling ; GO:0032007 | inferred from biological aspect of ancestor with PANTHER:PTN001094901,cytosol ; GO:0005829 | inferred from high throughput direct assay,-,2R,14497312,14481187,Proline-rich Akt substrate 40 kDa,PRAS40
FBgn0035438,FBgn0035438,CG12013,oxidation-reduction process ; GO:0055114 | inferred from electronic annotation with InterPro:IPR000889 <newline> intestinal stem cell homeostasis ; GO:0036335 | inferred from mutant phenotype <newline> response to lipid hydroperoxide ; GO:0006982 | inferred from sequence or structural similarity with UniProtKB:P36969 <newline> response to endoplasmic reticulum stress ; GO:0034976 | inferred from mutant phenotype <newline> response to oxidative stress ; GO:0006979 | inferred from mutant phenotype,endomembrane system ; GO:0012505 | inferred from high throughput direct assay <newline> mitochondrion ; GO:0005739 | inferred from sequence or structural similarity with UniProtKB:P36969 <newline> Golgi apparatus ; GO:0005794 | inferred from direct assay <newline> cytoplasm ; GO:0005737 | inferred from sequence or structural similarity with UniProtKB:P36969,peroxidase activity ; GO:0004601 | inferred from direct assay <newline> glutathione peroxidase activity ; GO:0004602 | inferred from sequence or structural similarity with UniProtKB:P36969,3L,3328626,3326265,PHGPx,PHGPx
FBgn0020660,FBgn0020660,CG10837,translational initiation ; GO:0006413 | inferred from sequence or structural similarity <newline> translational initiation ; GO:0006413 | inferred from physical interaction with eIF4E1 <newline> eukaryotic translation initiation factor 4F complex assembly ; GO:0097010 | inferred from biological aspect of ancestor with PANTHER:PTN000579859 <newline> formation of translation preinitiation complex ; GO:0001731 | inferred from biological aspect of ancestor with PANTHER:PTN000579859 <newline> cell proliferation ; GO:0008283 | inferred from mutant phenotype,cytosol ; GO:0005829 | inferred from sequence or structural similarity <newline> cytosol ; GO:0005829 | inferred from direct assay <newline> cytosol ; GO:0005829 | inferred from physical interaction with eIF4E1 <newline> cytosol ; GO:0005829 | inferred from high throughput direct assay <newline> polysome ; GO:0005844 | inferred from biological aspect of ancestor with PANTHER:PTN000579859 <newline> eukaryotic translation initiation factor 4F complex ; GO:0016281 | inferred from biological aspect of ancestor with PANTHER:PTN000579859,RNA strand-exchange activity ; GO:0034057 | inferred from biological aspect of ancestor with PANTHER:PTN000579859 <newline> ribosomal small subunit binding ; GO:0043024 | inferred from biological aspect of ancestor with PANTHER:PTN000579859 <newline> mRNA binding ; GO:0003729 | inferred from sequence or structural similarity <newline> translation initiation factor activity ; GO:0003743 | inferred from sequence or structural similarity <newline> RNA strand annealing activity ; GO:0033592 | inferred from biological aspect of ancestor with PANTHER:PTN000579859 <newline> translation initiation factor activity ; GO:0003743 | inferred from physical interaction with eIF4E1,3L,27858271,27842669,eukaryotic translation initiation factor 4B,eIF4B
FBgn0003165,FBgn0003165,CG9755,"mitotic cell cycle ; GO:0000278 | traceable author statement <newline> negative regulation of transcription, DNA-templated ; GO:0045892 | traceable author statement <newline> regulation of synaptic growth at neuromuscular junction ; GO:0008582 | inferred from direct assay <newline> long-term memory ; GO:0007616 | traceable author statement <newline> pole cell migration ; GO:0007280 | inferred from mutant phenotype <newline> negative regulation of cell cycle ; GO:0045786 | traceable author statement <newline> negative regulation of epidermal growth factor receptor signaling pathway ; GO:0042059 | inferred from mutant phenotype <newline> positive regulation of translation ; GO:0045727 | traceable author statement <newline> cell migration ; GO:0016477 | traceable author statement <newline> pole cell migration ; GO:0007280 | traceable author statement <newline> negative regulation of translation ; GO:0017148 | traceable author statement <newline> nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay ; GO:0000288 | traceable author statement <newline> long-term memory ; GO:0007616 | inferred from mutant phenotype <newline> behavioral response to ethanol ; GO:0048149 | inferred from mutant phenotype <newline> positive regulation of nuclear-transcribed mRNA poly(A) tail shortening ; GO:0060213 | inferred from direct assay <newline> chemical synaptic transmission ; GO:0007268 | inferred from mutant phenotype <newline> germ cell development ; GO:0007281 | traceable author statement <newline> dendrite morphogenesis ; GO:0048813 | inferred from mutant phenotype <newline> modulation of chemical synaptic transmission ; GO:0050804 | inferred from mutant phenotype <newline> anterior/posterior axis specification, embryo ; GO:0008595 | traceable author statement <newline> oogenesis ; GO:0048477 | traceable author statement <newline> posttranscriptional gene silencing ; GO:0016441 | inferred from direct assay <newline> head involution ; GO:0008258 | inferred from mutant phenotype <newline> germ-line stem cell division ; GO:0042078 | non-traceable author statement",type Ib terminal bouton ; GO:0061176 | inferred from direct assay <newline> cytoplasm ; GO:0005737 | inferred from high throughput direct assay <newline> cytoplasm ; GO:0005737 | inferred from direct assay <newline> neuromuscular junction ; GO:0031594 | inferred from direct assay <newline> muscle cell postsynaptic specialization ; GO:0097482 | inferred from direct assay <newline> nuclear envelope ; GO:0005635 | inferred from direct assay <newline> type Is terminal bouton ; GO:0061177 | inferred from direct assay,"mRNA 3'-UTR binding ; GO:0003730 | inferred from direct assay <newline> RNA binding ; GO:0003723 | inferred from physical interaction with Ace inferred from physical interaction with dlg1 <newline> mRNA 3'-UTR binding ; GO:0003730 | traceable author statement <newline> translation repressor activity, mRNA regulatory element binding ; GO:0000900 | traceable author statement <newline> translation repressor activity, mRNA regulatory element binding ; GO:0000900 | inferred from direct assay",3R,9237682,9066343,pumilio,pum
FBgn0014388,FBgn0014388,CG1921,"regulation of compound eye photoreceptor development ; GO:0045314 | inferred from genetic interaction with csw <newline> negative regulation of epidermal growth factor receptor signaling pathway ; GO:0042059 | inferred from mutant phenotype inferred from genetic interaction with aos <newline> dorsal/ventral axis specification, ovarian follicular epithelium ; GO:0008069 | inferred from mutant phenotype <newline> open tracheal system development ; GO:0007424 | inferred from mutant phenotype <newline> ommatidial rotation ; GO:0016318 | inferred from mutant phenotype <newline> glial cell development ; GO:0021782 | inferred from mutant phenotype <newline> branching involved in open tracheal system development ; GO:0060446 | inferred from mutant phenotype <newline> negative regulation of epidermal growth factor receptor signaling pathway ; GO:0042059 | inferred from genetic interaction with Egfr inferred from genetic interaction with aos <newline> muscle fiber development ; GO:0048747 | inferred from mutant phenotype <newline> negative regulation of fibroblast growth factor receptor signaling pathway ; GO:0040037 | inferred from mutant phenotype <newline> compound eye morphogenesis ; GO:0001745 | inferred from mutant phenotype",apical part of cell ; GO:0045177 | inferred from direct assay <newline> cytoplasmic side of plasma membrane ; GO:0009898 | inferred from direct assay <newline> plasma membrane ; GO:0005886 | inferred from direct assay,-,3L,3424935,3401153,sprouty,sty
FBgn0261283,FBgn0261283,CG8522,"fatty acid biosynthetic process ; GO:0006633 | non-traceable author statement <newline> cell morphogenesis ; GO:0000902 | inferred from mutant phenotype <newline> regulation of autophagy of mitochondrion ; GO:1903146 | inferred from mutant phenotype <newline> positive regulation of transcription, DNA-templated ; GO:0045893 | traceable author statement <newline> regulation of fatty acid biosynthetic process ; GO:0042304 | traceable author statement <newline> fatty acid homeostasis ; GO:0055089 | inferred from mutant phenotype <newline> SREBP signaling pathway ; GO:0032933 | inferred from direct assay",nucleus ; GO:0005634 | traceable author statement <newline> nucleus ; GO:0005634 | inferred from direct assay <newline> nuclear membrane ; GO:0031965 | inferred from direct assay <newline> membrane ; GO:0016020 | inferred from direct assay <newline> endoplasmic reticulum membrane ; GO:0005789 | inferred from direct assay,"protein dimerization activity ; GO:0046983 | inferred from electronic annotation with InterPro:IPR011598 <newline> transcriptional activator activity, RNA polymerase II proximal promoter sequence-specific DNA binding ; GO:0001077 | inferred from direct assay",3L,19798979,19793935,Sterol regulatory element binding protein,SREBP
